id_cliente,nombre,sexo,fecha_nacimiento,distrito,fecha_alta,segmento_programa
27,Heraclio Gerardo Gimenez Chacón,M,1993-02-02,San Miguel,2022-03-19,Platino
28,Leire Bou-Arévalo,F,1960-02-24,Surco,2022-07-31,Bronce
29,Calista Cuesta Roca,F,2004-03-05,Ate,2022-01-08,Bronce
30,Amílcar Guadalupe Pizarro Solé,M,1993-10-31,Ate,2021-03-19,Bronce
31,Dionisia Alberdi-Carbó,F,2007-01-22,San Miguel,2023-02-28,Bronce
32,Remigio Lasa-Nieto,M,2003-02-26,San Juan De Lurigancho,2023-09-10,Plata
33,Eugenio Royo Cruz,M,2003-09-03,Jesús María,2023-05-18,Plata
34,Abril Del Valle,F,1998-06-21,San Juan De Lurigancho,2024-06-20,Plata
35,Lilia Camino Martín,F,2002-12-02,Ate,2021-12-14,Bronce
36,María Fernanda Flor-Coronado,F,1973-11-13,Miraflores,2025-03-21,Platino
37,Rico Cuéllar Abascal,M,1994-08-07,Pueblo Libre,2021-12-11,Oro
38,Felix Jose Ignacio Aliaga Caparrós,M,1955-09-25,San Miguel,2025-11-05,Bronce
39,Valeria Meléndez Heras,F,1976-12-18,Villa El Salvador,2022-06-04,Bronce
40,Dionisio Bermúdez Boada,M,1972-06-28,Villa El Salvador,2025-08-27,Oro
41,Saturnino De Casas,M,2000-12-18,Surco,2021-08-01,Platino
42,Mónica Talavera Dalmau,F,2003-09-08,Callao,2025-01-12,Bronce
43,Juan Luis Rocha Galán,M,1960-01-01,Desconocido,2021-01-20,Bronce
44,Priscila Font-Mesa,F,1977-01-27,San Juan De Lurigancho,2024-11-13,Platino
45,Nico Perea,M,1967-03-29,Desconocido,2023-03-09,Plata
46,Ximena Del Carrillo,F,1958-05-28,Desconocido,2023-08-10,Bronce
47,Daniel Baró Neira,M,1972-11-30,San Miguel,2023-01-31,Plata
48,Marita Grau Giménez,F,1997-01-27,Comas,2024-06-18,Platino
49,Andrea Barral Granados,F,1996-12-16,Miraflores,2021-06-17,Oro
50,Víctor Angulo Murillo,M,1989-09-04,Desconocido,2022-03-26,Plata
51,Lola Gárate Lopez,F,1958-02-07,La Molina,2022-12-02,Plata
52,Clotilde De Suárez,F,1995-08-26,Villa María Del Triunfo,2023-07-26,Bronce
53,Rita Suárez Ramírez,F,1975-10-12,San Borja,2023-06-30,Oro
54,Arcelia Caballero Rosa,F,1999-07-11,Callao,2022-02-14,Bronce
55,Ileana Reig Solera,F,1996-03-19,Miraflores,2022-07-25,Platino
56,Nerea Cabello Barrera,F,1989-05-04,San Juan De Lurigancho,2024-01-26,Bronce
57,Prudencio Nicolau,M,1982-05-28,Villa El Salvador,2022-03-25,Oro
58,Edelmiro Feliu Falcón,M,1996-10-08,San Miguel,2021-10-16,Bronce
59,Jacobo Checa-Roca,M,1991-07-16,Miraflores,2024-05-19,Plata
60,Emilio Sevillano Iborra,M,1989-01-23,Jesús María,2021-02-17,Bronce
61,Ismael Cabañas Ayuso,M,1999-01-01,Magdalena,2022-03-24,Plata
62,Silvio Alcolea-Bueno,M,1970-09-30,Callao,2023-11-30,Oro
63,Carina Ramos Torralba,F,1999-08-16,Los Olivos,2022-07-17,Plata
64,Custodio Del Barral,M,1959-12-16,San Juan De Lurigancho,2022-10-29,Plata
65,Goyo Abril Portero,M,1969-01-16,Pueblo Libre,2023-04-19,Bronce
66,Ángeles Sanz Machado,F,1987-01-19,Miraflores,2021-09-13,Platino
67,Pablo Torrecilla,M,1995-09-12,Magdalena,2022-03-17,Plata
68,Celestina Martin Gelabert,F,1985-05-26,Los Olivos,2021-02-22,Plata
69,Luis Miguel Barrera Mir,M,2002-02-24,Desconocido,2025-12-18,Oro
70,Amarilis Tapia Valverde,F,1963-09-17,San Miguel,2023-04-24,Plata
71,Camila Barberá-Verdejo,F,1983-09-27,Santiago De Surco,2023-08-06,Bronce
72,Teodoro Estevez Bayona,M,1981-07-15,Barranco,2024-10-17,Plata
73,Anastasio Nicolás Gutierrez Quintanilla,M,1996-07-23,Magdalena,2025-01-14,Plata
74,Vilma Hoz Ariño,F,1993-05-25,La Molina,2022-07-15,Oro
75,Anita Hortensia Yáñez Molina,F,2006-07-23,San Miguel,2024-03-13,Oro
76,Clara Miralles Gómez,F,1975-06-10,Desconocido,2021-03-12,Bronce
77,Gertrudis Castro Marín,F,1962-06-21,Ate,2022-10-09,Bronce
78,Fausto De Agustí,M,1983-06-27,Barranco,2022-07-22,Bronce
79,María De Beltrán,M,1981-07-09,Villa María Del Triunfo,2024-07-30,Bronce
80,Custodio Velasco-Lara,M,1962-04-20,San Juan De Lurigancho,2024-01-03,Plata
81,Úrsula Oller Bayona,F,1965-08-17,Villa María Del Triunfo,2023-09-09,Oro
82,Flora López Cruz,F,1970-03-30,Lince,2021-10-21,Bronce
83,Sigfrido Del Ángel,M,1988-07-11,Santiago De Surco,2022-11-29,Plata
84,Nazario Marí Calleja,M,1975-01-12,Lince,2022-02-10,Oro
85,Eligio Carlos Campo,M,1958-11-13,Pueblo Libre,2025-01-01,Oro
86,Casemiro Lladó-Luján,M,1988-07-13,San Isidro,2024-06-24,Plata
87,Clementina Paca Novoa Frutos,F,1988-03-07,Jesús María,2021-09-03,Oro
88,Ligia Torres Iglesias,F,1994-05-20,Jesús María,2024-12-17,Plata
89,Araceli Roda Lloret,F,1973-08-21,San Juan De Lurigancho,2023-07-22,Bronce
90,Abel Múgica Castrillo,M,1972-06-02,San Juan De Lurigancho,2025-09-28,Bronce
91,Cecilio Sala Roma,M,1971-05-27,San Miguel,2021-03-16,Bronce
92,Adelia Caparrós-Benet,F,1967-05-19,Jesús María,2022-02-21,Bronce
93,Magdalena Araujo Peiró,F,2007-05-24,Villa El Salvador,2023-04-20,Platino
94,Mamen Brunilda Ropero Castell,F,1977-06-17,Callao,2023-12-08,Oro
95,Encarnita Pastor Ariño,F,1985-04-04,Villa María Del Triunfo,2024-01-21,Bronce
96,Clementina Iborra Calderon,F,1967-12-24,Jesús María,2025-12-21,Plata
97,Reyna Ramos Cortes,F,1969-11-17,Callao,2025-08-05,Bronce
98,Toni Cámara Elorza,M,2005-09-04,San Miguel,2023-12-26,Plata
99,Albano Escobar,M,2002-05-28,Magdalena,2021-12-14,Oro
100,Rosendo Requena Hurtado,M,1990-08-07,Jesús María,2024-04-02,Bronce
101,Cebrián Campoy Piñeiro,M,2001-02-06,Lince,2021-04-26,Bronce
102,Tecla Sosa Girón,F,1995-09-28,San Isidro,2022-02-13,Plata
103,Sebastian Seguí Olmo,M,1996-01-09,Villa María Del Triunfo,2021-11-25,Plata
104,Samanta Goñi Gisbert,F,1975-03-14,Santiago De Surco,2021-11-27,Bronce
105,Mónica Ferrando Pujadas,F,1995-03-11,San Juan De Lurigancho,2025-11-22,Plata
106,Emilio Baños Lorenzo,M,1994-03-18,Barranco,2021-12-10,Plata
107,Miguel Ángel Vergara Pulido,M,1963-04-12,San Miguel,2023-09-21,Bronce
108,Eusebia Amorós-Carlos,F,1997-01-27,San Miguel,2025-07-27,Bronce
109,Chuy Lara Arenas,M,1985-11-18,Ate,2025-12-12,Bronce
110,Marc Rovira Ojeda,M,1956-07-10,Santiago De Surco,2021-10-10,Oro
111,Isaías Vidal Carlos,M,1960-02-01,Desconocido,2022-06-15,Platino
112,Vinicio Falcón,M,2003-12-11,San Miguel,2024-08-28,Oro
113,Amada Rubio Abellán,F,1973-07-01,Los Olivos,2025-08-07,Plata
114,Ángela Figueras-Pascual,F,1966-10-06,Miraflores,2024-06-11,Plata
115,Anastasia Murillo,F,1984-11-03,Santiago De Surco,2023-06-07,Plata
116,Estefanía Narcisa Casanovas Mas,F,2000-06-17,Magdalena,2025-07-23,Platino
117,Esmeralda Real-Morera,F,1965-01-08,Lince,2024-07-09,Bronce
118,Pablo Marqués,M,1957-04-25,Magdalena,2023-03-05,Plata
119,Belen Feliu-Rivero,F,1970-02-10,San Isidro,2025-01-28,Plata
120,Nicolasa Dávila,F,1987-04-29,Miraflores,2025-09-24,Plata
121,Mariana Encarna Ramis Abad,F,1958-12-30,Villa María Del Triunfo,2024-08-22,Bronce
122,Eloísa Gallo Ropero,F,1990-08-11,Chorrillos,2025-05-15,Plata
123,Marcio Nacio Montserrat Sola,M,1986-11-17,San Isidro,2024-08-01,Oro
124,Ismael De Vicente,M,1992-04-23,San Borja,2022-01-30,Plata
125,Régulo De Blazquez,M,1967-03-14,Miraflores,2022-10-27,Oro
126,José Ángel Naranjo Bueno,M,1962-09-19,Santiago De Surco,2024-12-11,Bronce
127,Nerea Menéndez Gomila,F,1961-08-01,Surco,2024-03-24,Platino
128,Brunilda Amat Arteaga,F,1983-06-24,Callao,2021-07-02,Plata
129,Jordán Beltran Sarabia,M,1959-04-07,Villa María Del Triunfo,2021-01-31,Plata
130,Vicenta Ferreras,F,1966-04-21,Villa María Del Triunfo,2025-04-04,Bronce
131,Jose Miguel Pulido,M,2000-06-28,Ate,2025-06-21,Bronce
132,Candelario Adán Campillo,M,2000-10-20,Magdalena,2023-04-17,Plata
133,Damián Echeverría,M,2000-05-22,San Juan De Lurigancho,2023-08-28,Bronce
134,Jesús Ayllón-Ibañez,M,1957-05-23,San Miguel,2024-11-18,Plata
135,Jessica Cañellas Sobrino,F,1998-06-15,Santiago De Surco,2023-03-16,Bronce
136,Lino Molins-Salas,M,2000-06-20,Villa El Salvador,2021-03-15,Oro
137,Sabina Pacífica Vargas Roldan,F,1998-03-31,Los Olivos,2025-05-08,Oro
138,Itziar Cuenca-Taboada,F,1973-03-08,Miraflores,2022-12-18,Bronce
139,Efraín De Lluch,M,1961-12-30,La Molina,2024-09-23,Plata
140,Julieta Haro-Llobet,F,1992-08-30,San Isidro,2025-09-29,Oro
141,Angélica Del Guitart,F,1961-03-22,Chorrillos,2021-10-03,Plata
142,Florencio Montenegro Berrocal,M,1971-07-14,Comas,2025-10-21,Bronce
143,Bárbara Guardia Piñol,F,1980-08-29,Magdalena,2021-12-07,Plata
144,Patricio Gargallo Baró,M,2002-02-04,La Molina,2025-11-12,Bronce
145,Herminio Muro,M,2003-04-14,Desconocido,2021-04-12,Bronce
146,Joan Ricart-Barrios,M,2006-08-17,Callao,2025-03-05,Bronce
147,Serafina Rivera Porras,F,1997-05-23,Villa María Del Triunfo,2023-06-25,Plata
148,Obdulia Ainara Pintor Tapia,F,1994-06-03,San Borja,2025-10-29,Bronce
149,Gabriel Martín Porta,M,1990-06-07,Callao,2022-02-10,Platino
150,Julio César Giménez,M,1996-01-18,Barranco,2021-09-24,Bronce
151,Constanza Del Ruano,F,1989-11-08,San Isidro,2024-09-20,Bronce
152,Alberto Del Navarrete,M,1995-04-26,San Juan De Lurigancho,2023-07-24,Plata
153,Porfirio Dalmau,M,1986-01-19,Miraflores,2021-05-16,Bronce
154,Ángel De Amores,M,1965-07-02,Magdalena,2021-06-06,Plata
155,Martina Amores,F,1963-02-22,Villa María Del Triunfo,2024-06-08,Bronce
156,Modesto Romero Cerdá,M,1961-03-17,Barranco,2025-11-10,Bronce
157,Casandra De Juan,F,1985-10-09,San Borja,2025-07-02,Bronce
158,Eugenia Galán,F,1957-01-19,Desconocido,2022-09-19,Bronce
159,Fernando Del Pinilla,M,2005-04-08,Callao,2024-05-06,Bronce
160,Primitiva Robles Iniesta,F,1992-02-07,Surco,2022-02-02,Oro
161,Joel Aliaga Azorin,M,1989-10-19,Magdalena,2022-09-06,Plata
162,Consuelo Bayona Arjona,F,1998-02-14,San Juan De Lurigancho,2023-10-10,Plata
163,Delia Flores Almagro,F,1995-07-08,Miraflores,2022-12-18,Plata
164,Calista Dafne Cases Sáenz,F,1975-03-31,Los Olivos,2023-05-16,Plata
165,Lope Gibert Sola,M,2000-07-16,San Juan De Lurigancho,2025-08-06,Platino
166,Raquel Peinado Diez,F,1990-02-09,Villa María Del Triunfo,2023-04-16,Bronce
167,Marcio Raúl Carbó Céspedes,M,1957-08-08,Comas,2025-05-04,Bronce
168,Baltasar Amigó Mesa,M,1960-05-01,San Borja,2024-09-19,Bronce
169,Nilo Wilfredo Perez Puente,M,1992-09-21,San Juan De Lurigancho,2023-04-21,Bronce
170,Angelita Herrero Cal,F,1982-09-05,Miraflores,2024-10-27,Bronce
171,Susanita Carrillo Armengol,F,1973-03-22,San Borja,2021-05-02,Plata
172,Juan Pablo Romero Pellicer,M,1976-03-21,Lince,2025-04-16,Plata
173,Lilia Nogueira Alberola,F,1991-12-10,Desconocido,2022-05-06,Platino
174,Sergio Trillo,M,1964-12-06,Barranco,2021-12-31,Bronce
175,Iris Paredes Segura,F,1966-06-18,Magdalena,2022-11-27,Bronce
176,Isaac Echeverría Vélez,M,2007-02-05,Pueblo Libre,2025-11-19,Platino
177,María Manuela Tomás Sola,F,1963-09-16,Chorrillos,2025-06-28,Oro
178,Seve Ledesma,M,1986-03-27,San Borja,2024-06-28,Plata
179,Tamara Higueras Bolaños,F,1979-10-03,Comas,2023-09-17,Plata
180,Valero Sanmartín Hervás,M,1991-01-17,San Borja,2023-05-03,Oro
181,Lucas Del Navarrete,M,1990-06-12,Los Olivos,2024-09-03,Plata
182,Jose Miguel Morcillo Espada,M,2005-09-16,San Miguel,2022-08-06,Bronce
183,Cloe Del Jordán,F,1971-05-23,Desconocido,2022-04-05,Oro
184,Elisa Llorente Agustín,F,1994-05-22,Comas,2021-01-31,Plata
185,Claudio Boada-Hernández,M,1985-06-29,Pueblo Libre,2022-06-07,Bronce
186,Laura Hernandez,F,1990-01-06,Ate,2021-07-24,Plata
187,Mireia Del Samper,F,1980-12-17,Desconocido,2022-06-02,Bronce
188,Araceli Mariscal Giralt,F,1985-04-23,Chorrillos,2022-09-12,Oro
189,Nydia Hervia,F,1956-04-23,San Miguel,2025-03-08,Bronce
190,Natanael Peinado Sáenz,M,1992-03-18,Desconocido,2022-04-07,Oro
191,Juan Manuel Núñez-Roig,M,1967-04-09,Magdalena,2021-02-15,Plata
192,Eusebia Ortiz-Santiago,F,1959-09-22,Surco,2024-01-22,Bronce
193,Encarnación Iglesias Gual,F,1957-04-10,Chorrillos,2023-10-19,Bronce
194,Palmira Fernández Moles,F,1973-03-08,Barranco,2021-01-05,Plata
195,Ramiro Esteve Feliu,M,1992-04-12,La Molina,2022-10-09,Oro
196,Rafael Tomé Lloret,M,1958-09-17,Jesús María,2022-11-08,Bronce
197,Pía Luciana Luna Cabrera,F,1984-01-10,San Isidro,2021-01-07,Bronce
198,Emiliana Gordillo Paniagua,F,1987-10-20,La Molina,2021-07-09,Plata
199,Encarna Alcalá Castañeda,F,1977-04-25,Los Olivos,2021-03-06,Oro
200,Amalia Ballester Manzano,F,1987-09-25,San Juan De Lurigancho,2021-02-26,Bronce
201,Merche Tudela Calderon,F,2000-11-20,San Borja,2025-09-01,Plata
202,Luciano Luís Soria,M,1961-11-25,Barranco,2025-06-01,Plata
203,Isidro Del Espinosa,M,1967-10-06,Comas,2024-03-16,Bronce
204,Dolores Tejedor Carbonell,F,1968-05-19,Comas,2023-02-12,Plata
205,Gracia Téllez Benavent,F,1981-05-27,Villa El Salvador,2023-06-26,Bronce
206,Maxi Olegario Baeza Cordero,M,1993-11-13,Lince,2024-06-07,Oro
207,Santiago Mateu Blázquez,M,1961-04-26,Magdalena,2024-11-09,Plata
208,Azahara Rico Gonzalez,F,1975-11-29,Comas,2023-01-14,Plata
209,Goyo Sanjuan-Salas,M,1996-01-23,Barranco,2021-12-12,Bronce
210,Tito Romeu Mayoral,M,1982-12-19,La Molina,2021-01-16,Bronce
211,María Teresa América Cabezas Galiano,F,1961-10-02,Magdalena,2021-01-11,Oro
212,Dulce Bertrán Crespo,F,2007-07-23,Barranco,2025-05-23,Plata
213,Carmela Benavides Crespi,F,1999-08-14,San Miguel,2025-06-07,Plata
214,Hernando Sanjuan Soriano,M,2000-12-24,San Juan De Lurigancho,2025-11-12,Plata
215,Alejandra Guardiola Maldonado,F,1961-03-30,San Juan De Lurigancho,2025-11-01,Bronce
216,Pascual Santiago Belda,M,1966-04-07,San Borja,2021-10-07,Bronce
217,Óscar Lamas Figuerola,M,1990-04-17,Barranco,2022-01-12,Bronce
218,Aurora Gomila,F,1989-07-12,San Isidro,2023-02-23,Bronce
219,Yéssica Larrañaga Cisneros,F,2001-05-31,Pueblo Libre,2022-01-06,Oro
220,América Daza Meléndez,F,1995-09-15,San Juan De Lurigancho,2024-06-16,Bronce
221,Pilar Sara Malo Saavedra,F,1973-12-05,San Borja,2021-01-09,Bronce
222,Josefina Mateu Quevedo,F,1966-10-11,Santiago De Surco,2021-03-13,Oro
223,Josué Uribe Río,M,1996-05-07,Surco,2025-12-06,Bronce
224,Marcelino Ariño Rosales,M,2001-02-23,San Borja,2021-10-14,Plata
225,Marciano Ibáñez Amigó,M,1984-05-05,Miraflores,2024-04-09,Bronce
226,Darío Almansa Leon,M,1993-08-12,Ate,2025-10-30,Bronce
227,Almudena Rafaela Díez Sosa,F,1989-11-14,Miraflores,2022-04-19,Bronce
228,Máximo Salamanca-Lobo,M,1965-10-06,Comas,2023-01-01,Bronce
229,Marisol Ruano Téllez,F,1987-01-21,Lince,2022-03-08,Oro
230,José Oliveras Real,F,2004-12-10,San Miguel,2025-03-17,Plata
231,Estrella Calvo Cuevas,F,2006-09-16,Comas,2022-09-19,Bronce
232,Guiomar Valbuena Maldonado,F,1982-03-17,Barranco,2024-11-20,Bronce
233,Ruth Arco,F,1994-11-25,Ate,2025-12-14,Bronce
234,Anunciación Del Iniesta,F,2001-02-19,Los Olivos,2025-07-11,Bronce
235,Bautista Quintero Vilar,M,1987-12-30,San Miguel,2025-11-29,Bronce
236,Máxima Sevilla Reyes,F,2000-10-01,Jesús María,2024-11-29,Plata
237,Ciríaco Villegas Pardo,M,1998-10-06,Desconocido,2021-05-19,Oro
238,Reyes Josep Salamanca Aznar,M,1958-12-06,San Isidro,2024-04-21,Bronce
239,Débora Castro Maestre,F,1973-09-14,Lince,2021-01-28,Plata
240,Valerio Del Carrión,M,1958-06-18,Pueblo Libre,2025-08-11,Oro
241,Mayte Heras Cuadrado,F,1995-08-06,Magdalena,2023-11-13,Bronce
242,Mamen Alcalá Raya,F,1979-08-29,San Borja,2023-07-22,Oro
243,Coral Carballo Serrano,F,1971-02-18,Callao,2025-08-16,Oro
244,Moisés Correa Valentín,M,2004-01-27,San Miguel,2021-09-13,Bronce
245,José Manuel Llano Ribes,M,1963-07-20,Los Olivos,2025-08-29,Platino
246,Jovita De Saura,F,1973-02-15,Chorrillos,2024-08-14,Bronce
247,Camilo Pla-Farré,M,1961-07-18,Jesús María,2025-01-31,Bronce
248,Liliana Piedad Cerezo Baños,F,1995-01-23,Chorrillos,2023-03-13,Oro
249,Reina Ribera Nieto,F,1984-05-06,San Borja,2024-04-22,Bronce
250,Débora Acedo-Luna,F,1963-03-08,Callao,2023-02-01,Bronce
251,Silvio Tovar Comas,M,1979-08-28,Callao,2021-05-07,Bronce
252,Julio César Del Ochoa,M,1984-08-04,San Miguel,2021-06-07,Oro
253,Mamen Pi Sarabia,F,1958-07-10,San Juan De Lurigancho,2021-03-13,Oro
254,Trinidad Fabregat Haro,M,1989-03-02,La Molina,2025-05-20,Plata
255,Gregorio Demetrio Reig Arranz,M,1993-01-29,Villa María Del Triunfo,2023-05-12,Platino
256,Petrona Suárez Piquer,F,1999-03-28,Barranco,2022-11-12,Bronce
257,Narcisa Cornejo,F,1972-05-29,Desconocido,2023-02-13,Bronce
258,Alicia De Vallés,F,1967-07-29,La Molina,2024-09-12,Plata
259,Eusebia Tomasa Cabrera Sacristán,F,1988-09-13,San Juan De Lurigancho,2022-01-04,Oro
260,Juan José Saura Alcántara,M,1974-11-10,Miraflores,2021-10-28,Bronce
261,Guadalupe Cortes Benavides,F,2001-05-28,La Molina,2023-01-30,Bronce
262,Ricarda Del Nevado,F,2002-07-18,Desconocido,2024-10-16,Oro
263,Osvaldo Heliodoro Bernat Moya,M,1993-03-04,Desconocido,2021-09-14,Platino
264,Fortunata Moliner-Torrents,F,1993-07-05,Pueblo Libre,2021-10-26,Plata
265,Alicia Bayona-Guitart,F,1970-10-11,Villa María Del Triunfo,2025-06-15,Bronce
266,Corona Botella Roura,F,1978-03-17,Los Olivos,2021-09-22,Platino
267,Pía Cabrera Salcedo,F,2004-09-18,Desconocido,2023-09-17,Oro
268,Nélida Marí Andres,F,1981-03-17,Miraflores,2021-10-15,Plata
269,Fermín Barba Marcos,M,1979-08-14,Pueblo Libre,2025-09-22,Oro
270,Glauco Rosa Coello,M,1962-10-22,Ate,2024-02-22,Oro
271,Luisa Requena Escolano,F,1986-11-05,La Molina,2023-03-17,Platino
272,Carmelita Bermúdez Piñeiro,F,1995-01-24,Pueblo Libre,2023-10-22,Oro
273,Nilda Dalila Valenciano Clemente,F,2000-05-06,Comas,2025-04-07,Plata
274,Joaquina Izquierdo Segura,F,2001-02-13,Villa María Del Triunfo,2022-03-16,Plata
275,Natividad Agustí Sola,F,1999-02-27,Chorrillos,2025-11-17,Plata
276,Nicolasa Cruz Benavent,F,1982-08-15,San Miguel,2023-08-19,Plata
277,Fabiola Del Rodrigo,F,1967-11-22,Barranco,2022-04-12,Oro
278,Jessica Matas Flor,F,1975-06-15,San Juan De Lurigancho,2021-02-26,Platino
279,Tamara Tomas,F,1999-01-29,Santiago De Surco,2022-08-11,Plata
280,Cándida Pizarro Palomar,F,1958-08-07,San Borja,2023-03-19,Plata
281,Emiliana Odalis Marquez Almeida,F,1996-09-05,Miraflores,2021-02-07,Bronce
282,Emigdio Aguiló,M,1984-03-20,San Miguel,2021-08-01,Plata
283,Toni Olegario Avilés Valdés,M,2003-04-19,San Isidro,2024-02-02,Plata
284,Román Grau Ortuño,M,1999-01-20,Lince,2022-09-25,Bronce
285,Mercedes Falcón Iglesia,F,1974-10-14,Villa El Salvador,2023-10-04,Plata
286,Mauricio Caballero Ariza,M,1997-01-09,Barranco,2023-01-14,Bronce
287,Rufino Saez Aragonés,M,1981-02-18,Surco,2023-05-13,Bronce
288,Filomena Patricia Catalá Bosch,F,1981-08-21,Desconocido,2024-07-06,Oro
289,Fernando Ribes Echevarría,M,1992-09-25,San Miguel,2024-07-01,Bronce
290,Benigna Paz Valls,F,1972-06-12,Lince,2021-04-04,Bronce
291,Severo Córdoba Jimenez,M,2004-07-18,Villa El Salvador,2024-10-19,Bronce
292,Samuel Del Nevado,M,1973-07-19,Jesús María,2023-09-27,Bronce
293,Josefina Benet Chico,F,1997-02-27,La Molina,2024-03-11,Oro
294,Tito Puerta Paz,M,1984-09-27,Villa El Salvador,2025-11-21,Plata
295,Ruperto Prat Alcalá,M,1957-04-08,Pueblo Libre,2023-02-17,Oro
296,Lupe Casals Sanz,F,1973-08-08,La Molina,2023-05-31,Bronce
297,Nerea Juárez Piquer,F,1986-05-10,Lince,2025-12-14,Bronce
298,Baltasar Guillen Soto,M,1990-05-07,Miraflores,2023-04-30,Bronce
299,María Teresa Mosquera Giralt,F,1976-10-13,Villa El Salvador,2024-06-10,Plata
300,Maximino Simó Matas,M,1965-11-06,Magdalena,2024-09-03,Plata
301,Bautista Chaves,M,1959-12-07,Chorrillos,2024-10-04,Oro
302,Alma Mayo Ugarte,F,1985-09-26,Desconocido,2022-04-06,Plata
303,Ariadna Guitart Cerdá,F,1956-04-25,Magdalena,2021-06-16,Plata
304,Jenny Peláez,F,1965-12-07,Barranco,2021-10-24,Oro
305,Hortensia Cortes-Ribera,F,1993-09-09,Callao,2021-07-01,Platino
306,Serafina Tovar Raya,F,1978-07-12,Los Olivos,2025-09-07,Bronce
307,Alejandra Pellicer Gaya,F,1962-06-25,Miraflores,2022-03-05,Bronce
308,Iván De Pareja,M,1981-10-15,Villa El Salvador,2023-04-10,Plata
309,Noelia Pedrero Palmer,F,1965-03-18,Barranco,2021-02-19,Plata
310,Heliodoro Llorente Falcó,M,1966-05-27,Chorrillos,2022-03-09,Platino
311,Teobaldo Sanz Bravo,M,1979-09-21,Comas,2025-08-02,Plata
312,Miguel Ángel Almazán Ayuso,M,1994-12-29,Chorrillos,2021-10-12,Bronce
313,Domingo Casas Fuertes,M,2007-04-01,La Molina,2025-04-25,Platino
314,Saturnina Galan Garzón,F,1972-01-27,Barranco,2022-04-18,Oro
315,Eulalia Coloma Acedo,F,1998-06-02,San Juan De Lurigancho,2022-03-05,Bronce
316,Tecla Coca Castillo,F,1983-03-13,La Molina,2022-11-23,Oro
317,Edgardo Díaz-Canet,M,1974-04-03,Surco,2025-05-14,Bronce
318,Blas Alcolea Palma,M,1992-06-13,Desconocido,2024-10-19,Bronce
319,Macario Morante Alcázar,M,1992-09-23,Villa María Del Triunfo,2023-06-17,Oro
320,Eligio Badía Castañeda,M,1964-01-14,Villa María Del Triunfo,2021-01-04,Plata
321,Lucila Carballo,F,1955-07-20,Villa El Salvador,2022-04-09,Bronce
322,Juanita Sanabria Paredes,F,1989-09-21,San Juan De Lurigancho,2024-04-30,Bronce
323,Martina Canales-Sans,F,1994-07-30,Desconocido,2022-03-14,Plata
324,Dan Aroca-Vázquez,M,2008-07-06,San Juan De Lurigancho,2021-04-15,Bronce
325,Jesusa Anguita Barrera,F,1970-08-19,Desconocido,2025-07-08,Plata
326,Soraya Del Roldan,F,1973-08-15,Chorrillos,2023-12-14,Plata
327,Leandra Salcedo Beltrán,F,1991-11-28,Barranco,2025-04-05,Bronce
328,Estrella Colomer Bastida,F,1982-10-03,San Borja,2021-08-06,Plata
329,Emigdio Morcillo Piquer,M,1991-10-11,Chorrillos,2025-03-24,Oro
