id_cliente,nombre,segmento_programa,distrito,antiguedad_dias,frecuencia_compras,monto_acumulado,recencia_dias,abandono_historico,probabilidad_abandono,prediccion_abandono,nivel_riesgo,modelo_usado
3240,Begoña Santiago-Marquez,Bronce,San Isidro,584,0.0,0.0,584.0,1,0.988,1,Alto,Random Forest
1955,Fanny Benítez Matas,Bronce,San Isidro,658,0.0,0.0,658.0,1,0.988,1,Alto,Random Forest
1324,Cecilio Nuñez Gracia,Platino,Lince,1296,0.0,0.0,1296.0,1,0.988,1,Alto,Random Forest
3529,Sarita De Marco,Plata,Chorrillos,1774,0.0,0.0,1774.0,1,0.988,1,Alto,Random Forest
3823,María Carmen Perelló Elorza,Bronce,Lince,718,0.0,0.0,718.0,1,0.988,1,Alto,Random Forest
1719,Jesusa Company-Guijarro,Plata,Chorrillos,1750,0.0,0.0,1750.0,1,0.988,1,Alto,Random Forest
1945,Marianela Portero,Bronce,Lince,422,0.0,0.0,422.0,1,0.988,1,Alto,Random Forest
2169,Amanda Casanovas Sanchez,Plata,Chorrillos,1663,0.0,0.0,1663.0,1,0.988,1,Alto,Random Forest
1608,María Del Carmen Castejón Verdejo,Bronce,San Isidro,306,0.0,0.0,306.0,1,0.9879,1,Alto,Random Forest
426,Gabriela Bilbao Perera,Bronce,Lince,1188,0.0,0.0,1188.0,1,0.9879,1,Alto,Random Forest
4,Cruz Vazquez Amor,Plata,Barranco,1786,0.0,0.0,1786.0,1,0.9878,1,Alto,Random Forest
1905,Isabel Yáñez,Bronce,Los Olivos,1452,0.0,0.0,1452.0,1,0.9878,1,Alto,Random Forest
4633,Tecla Ramírez-Zamorano,Bronce,Los Olivos,1275,0.0,0.0,1275.0,1,0.9878,1,Alto,Random Forest
4698,Bibiana Rovira Noguera,Bronce,Lince,153,0.0,0.0,153.0,1,0.9878,1,Alto,Random Forest
3238,Laura Amigó Peiró,Plata,Barranco,1356,0.0,0.0,1356.0,1,0.9878,1,Alto,Random Forest
3513,María Jesús Iborra Delgado,Oro,San Isidro,1407,0.0,0.0,1407.0,1,0.9878,1,Alto,Random Forest
947,Gil Estévez,Platino,San Borja,272,0.0,0.0,272.0,1,0.9878,1,Alto,Random Forest
1357,Jennifer Elena Téllez Expósito,Bronce,Los Olivos,588,0.0,0.0,588.0,1,0.9877,1,Alto,Random Forest
1590,Aurora Alcántara Vilaplana,Bronce,Los Olivos,992,0.0,0.0,992.0,1,0.9876,1,Alto,Random Forest
1042,Marita Vargas Dominguez,Bronce,Los Olivos,1251,0.0,0.0,1251.0,1,0.9876,1,Alto,Random Forest
3779,Blanca Alberola Martin,Bronce,Barranco,1462,0.0,0.0,1462.0,1,0.9876,1,Alto,Random Forest
3096,Cintia Cáceres Roura,Platino,Villa El Salvador,229,0.0,0.0,229.0,1,0.9876,1,Alto,Random Forest
4789,Luisina Leire Planas Conesa,Bronce,Lince,1483,0.0,0.0,1483.0,1,0.9875,1,Alto,Random Forest
2847,Bárbara Segarra Coloma,Plata,Chorrillos,1317,0.0,0.0,1317.0,1,0.9875,1,Alto,Random Forest
3917,Nélida Fábregas Polo,Plata,Barranco,1566,0.0,0.0,1566.0,1,0.9875,1,Alto,Random Forest
111,Isaías Vidal Carlos,Platino,Desconocido,1294,0.0,0.0,1294.0,1,0.9875,1,Alto,Random Forest
4137,Inés Tejera Arnaiz,Oro,Barranco,1602,0.0,0.0,1602.0,1,0.9875,1,Alto,Random Forest
1954,Margarita Talavera Roldán,Oro,San Isidro,1072,0.0,0.0,1072.0,1,0.9875,1,Alto,Random Forest
4756,Maribel Nieto Tur,Plata,Barranco,606,0.0,0.0,606.0,1,0.9875,1,Alto,Random Forest
2712,Cristina Del Pedrosa,Platino,San Isidro,1198,0.0,0.0,1198.0,1,0.9875,1,Alto,Random Forest
2786,Marcial Narváez Anaya,Platino,Pueblo Libre,245,0.0,0.0,245.0,1,0.9875,1,Alto,Random Forest
1087,Jacinta Anunciación Valentín Salvador,Plata,Pueblo Libre,1134,0.0,0.0,1134.0,1,0.9874,1,Alto,Random Forest
3134,Elisabet Arranz Miralles,Platino,Surco,1817,0.0,0.0,1817.0,1,0.9874,1,Alto,Random Forest
2946,Aurelio Alberto Goicoechea Asenjo,Bronce,Barranco,1803,0.0,0.0,1803.0,1,0.9874,1,Alto,Random Forest
2807,Rosenda Alcolea Clavero,Bronce,Chorrillos,1584,0.0,0.0,1584.0,1,0.9873,1,Alto,Random Forest
2234,América Toledo Llano,Platino,San Juan De Lurigancho,992,0.0,0.0,992.0,1,0.9873,1,Alto,Random Forest
3277,María Del Carmen Aller Almazán,Oro,Chorrillos,970,0.0,0.0,970.0,1,0.9873,1,Alto,Random Forest
3409,Silvestre De Iriarte,Platino,Callao,1316,0.0,0.0,1316.0,1,0.9873,1,Alto,Random Forest
910,Teo Zorrilla Patiño,Plata,La Molina,562,0.0,0.0,562.0,1,0.9873,1,Alto,Random Forest
2964,Evita Gallardo Álamo,Bronce,Barranco,814,0.0,0.0,814.0,1,0.9873,1,Alto,Random Forest
432,Pascuala Álamo-Rocha,Bronce,Chorrillos,738,0.0,0.0,738.0,1,0.9873,1,Alto,Random Forest
1407,Perlita Ricart-Peinado,Plata,La Molina,1701,0.0,0.0,1701.0,1,0.9872,1,Alto,Random Forest
2499,Loreto Pía Larrañaga Torre,Platino,San Miguel,1449,0.0,0.0,1449.0,1,0.9872,1,Alto,Random Forest
1855,Isa Teófila Jordá Tamarit,Plata,Magdalena,149,0.0,0.0,149.0,1,0.9872,1,Alto,Random Forest
3077,Loida Barros,Plata,Barranco,1230,0.0,0.0,1230.0,1,0.9871,1,Alto,Random Forest
1099,Samanta Recio Campo,Bronce,San Miguel,796,0.0,0.0,796.0,1,0.9871,1,Alto,Random Forest
1383,Rosa María Campo-Casas,Bronce,San Miguel,435,0.0,0.0,435.0,1,0.9871,1,Alto,Random Forest
1513,Remedios Macias Serra,Oro,Villa María Del Triunfo,513,0.0,0.0,513.0,1,0.987,1,Alto,Random Forest
422,Yolanda De Ruiz,Bronce,Villa El Salvador,1089,0.0,0.0,1089.0,1,0.987,1,Alto,Random Forest
1331,Arcelia Bartolomé Sáenz,Oro,Villa María Del Triunfo,1309,0.0,0.0,1309.0,1,0.987,1,Alto,Random Forest
3485,Gema Tamarit-Alberola,Oro,Chorrillos,505,0.0,0.0,505.0,1,0.987,1,Alto,Random Forest
1876,Consuela Castells Cisneros,Plata,Lince,220,0.0,0.0,220.0,1,0.987,1,Alto,Random Forest
1934,Socorro Pazos Oller,Bronce,Callao,1545,0.0,0.0,1545.0,1,0.9869,1,Alto,Random Forest
42,Mónica Talavera Dalmau,Bronce,Callao,352,0.0,0.0,352.0,1,0.9869,1,Alto,Random Forest
613,Clarisa Bautista Cabrero,Oro,Lince,803,0.0,0.0,803.0,1,0.9868,1,Alto,Random Forest
194,Palmira Fernández Moles,Plata,Barranco,1820,0.0,0.0,1820.0,1,0.9868,1,Alto,Random Forest
3635,Lucio Marin,Bronce,Barranco,1781,0.0,0.0,1781.0,1,0.9868,1,Alto,Random Forest
102,Tecla Sosa Girón,Plata,San Isidro,1416,0.0,0.0,1416.0,1,0.9867,1,Alto,Random Forest
3341,Maristela Piñol-Murillo,Platino,San Borja,1208,0.0,0.0,1208.0,1,0.9867,1,Alto,Random Forest
3143,Xiomara Reig Torre,Bronce,Chorrillos,1544,0.0,0.0,1544.0,1,0.9867,1,Alto,Random Forest
4159,Amada Mate,Oro,Chorrillos,782,0.0,0.0,782.0,1,0.9867,1,Alto,Random Forest
4749,Severo Cal Puig,Platino,Magdalena,956,0.0,0.0,956.0,1,0.9867,1,Alto,Random Forest
1092,Clarisa Sastre-Nogueira,Plata,San Isidro,491,0.0,0.0,491.0,1,0.9867,1,Alto,Random Forest
1960,Tere Estévez-Valera,Bronce,Santiago De Surco,731,0.0,0.0,731.0,1,0.9866,1,Alto,Random Forest
1344,Calixta Mateos Alarcón,Plata,Los Olivos,177,0.0,0.0,177.0,1,0.9866,1,Alto,Random Forest
3444,Morena Quiroga Alberola,Bronce,Barranco,993,0.0,0.0,993.0,1,0.9866,1,Alto,Random Forest
2106,Domingo Cosme Mariño Pou,Platino,San Isidro,1328,0.0,0.0,1328.0,1,0.9866,1,Alto,Random Forest
3408,Jessica Martina Royo Pujol,Plata,Santiago De Surco,879,0.0,0.0,879.0,1,0.9866,1,Alto,Random Forest
2432,Micaela Guerrero-Vara,Plata,Magdalena,1083,0.0,0.0,1083.0,1,0.9866,1,Alto,Random Forest
4387,Regina Agullo Palomo,Bronce,Santiago De Surco,960,0.0,0.0,960.0,1,0.9866,1,Alto,Random Forest
26,Petrona Jódar Romero,Plata,Magdalena,285,0.0,0.0,285.0,1,0.9866,1,Alto,Random Forest
566,Vera Echeverría,Bronce,Villa El Salvador,508,0.0,0.0,508.0,1,0.9865,1,Alto,Random Forest
2771,Hernán Del Saldaña,Plata,La Molina,1306,0.0,0.0,1306.0,1,0.9865,1,Alto,Random Forest
1334,María Pilar Cortés Blasco,Bronce,Villa El Salvador,138,0.0,0.0,138.0,1,0.9865,1,Alto,Random Forest
3594,Juana Riera-Leon,Plata,San Miguel,1030,0.0,0.0,1030.0,1,0.9865,1,Alto,Random Forest
1465,Carlota Barrena Luz,Plata,Magdalena,1146,0.0,0.0,1146.0,1,0.9865,1,Alto,Random Forest
3966,Chus Bertrán Estevez,Bronce,Villa El Salvador,754,0.0,0.0,754.0,1,0.9865,1,Alto,Random Forest
2539,Judith Melania Garriga Uría,Oro,Lince,1775,0.0,0.0,1775.0,1,0.9865,1,Alto,Random Forest
2931,Virginia Mireia Robles Rozas,Oro,Chorrillos,273,0.0,0.0,273.0,1,0.9865,1,Alto,Random Forest
4245,Isaías Del Montserrat,Platino,Desconocido,1506,0.0,0.0,1506.0,1,0.9865,1,Alto,Random Forest
3178,Domitila Alegre Osuna,Bronce,San Isidro,493,0.0,0.0,493.0,1,0.9865,1,Alto,Random Forest
3737,Patricia Pareja Hernández,Bronce,La Molina,1528,0.0,0.0,1528.0,1,0.9865,1,Alto,Random Forest
279,Tamara Tomas,Plata,Santiago De Surco,1237,0.0,0.0,1237.0,1,0.9865,1,Alto,Random Forest
1204,Amílcar Lamas Peiró,Plata,Barranco,604,0.0,0.0,604.0,1,0.9864,1,Alto,Random Forest
1713,Berta Araujo Ferrando,Bronce,La Molina,878,0.0,0.0,878.0,1,0.9864,1,Alto,Random Forest
3050,Amaro León Campo,Bronce,La Molina,276,0.0,0.0,276.0,1,0.9864,1,Alto,Random Forest
1860,Mercedes Palacio,Platino,Callao,1329,0.0,0.0,1329.0,1,0.9864,1,Alto,Random Forest
2561,Reyes Silva Piña,Bronce,San Isidro,1657,0.0,0.0,1657.0,1,0.9864,1,Alto,Random Forest
2336,Victor Pi,Plata,Pueblo Libre,948,0.0,0.0,948.0,1,0.9864,1,Alto,Random Forest
2979,Flora Cabañas Avilés,Oro,Comas,180,0.0,0.0,180.0,1,0.9863,1,Alto,Random Forest
742,Jenaro Carbonell Jáuregui,Platino,San Juan De Lurigancho,1140,0.0,0.0,1140.0,1,0.9863,1,Alto,Random Forest
504,Herminia Del Sobrino,Plata,La Molina,1316,0.0,0.0,1316.0,1,0.9863,1,Alto,Random Forest
3693,Rosalina Figuerola Esparza,Plata,San Isidro,1381,0.0,0.0,1381.0,1,0.9863,1,Alto,Random Forest
3011,Petrona Borrell Ferrer,Bronce,Lince,961,0.0,0.0,961.0,1,0.9863,1,Alto,Random Forest
1030,Judith Pla,Bronce,Pueblo Libre,1575,0.0,0.0,1575.0,1,0.9863,1,Alto,Random Forest
4277,Santos Almansa-Valle,Bronce,La Molina,942,0.0,0.0,942.0,1,0.9863,1,Alto,Random Forest
1378,Rosa Herrero,Plata,Chorrillos,1255,0.0,0.0,1255.0,1,0.9863,1,Alto,Random Forest
875,Teófilo Santamaria,Bronce,Pueblo Libre,1366,0.0,0.0,1366.0,1,0.9863,1,Alto,Random Forest
2962,Adolfo Garzón Solé,Bronce,La Molina,728,0.0,0.0,728.0,1,0.9863,1,Alto,Random Forest
1395,Vasco Alfonso Pascual,Bronce,Pueblo Libre,975,0.0,0.0,975.0,1,0.9862,1,Alto,Random Forest
3012,Miguel Campoy,Plata,Barranco,1610,0.0,0.0,1610.0,1,0.9862,1,Alto,Random Forest
1917,Nidia De Escamilla,Bronce,Lince,1253,0.0,0.0,1253.0,1,0.9862,1,Alto,Random Forest
2789,Mamen Franch Antúnez,Bronce,Lince,1009,0.0,0.0,1009.0,1,0.9862,1,Alto,Random Forest
3985,Adora De Montalbán,Platino,Los Olivos,634,0.0,0.0,634.0,1,0.9862,1,Alto,Random Forest
3148,Ainara Valenzuela Aragón,Bronce,San Isidro,908,0.0,0.0,908.0,1,0.9861,1,Alto,Random Forest
4724,Ambrosio Sanchez Chaves,Bronce,Chorrillos,1602,0.0,0.0,1602.0,1,0.9861,1,Alto,Random Forest
3679,Araceli Rivas Batalla,Platino,Santiago De Surco,1522,0.0,0.0,1522.0,1,0.9861,1,Alto,Random Forest
4338,Ángeles Cabello Vega,Bronce,Lince,238,0.0,0.0,238.0,1,0.9861,1,Alto,Random Forest
2722,Sarita Alcalde Arranz,Oro,San Isidro,1344,0.0,0.0,1344.0,1,0.9861,1,Alto,Random Forest
3149,Eligia Plana Mas,Platino,San Borja,1369,0.0,0.0,1369.0,1,0.9861,1,Alto,Random Forest
4068,Manu Perelló Vicente,Bronce,Villa El Salvador,917,0.0,0.0,917.0,1,0.986,1,Alto,Random Forest
4947,Rosenda Garmendia Ojeda,Plata,La Molina,1626,0.0,0.0,1626.0,1,0.986,1,Alto,Random Forest
3624,Selena Álvaro Barrena,Oro,Barranco,1014,0.0,0.0,1014.0,1,0.986,1,Alto,Random Forest
1782,Reina De Ramirez,Bronce,Barranco,1554,0.0,0.0,1554.0,1,0.986,1,Alto,Random Forest
2303,Nydia Eusebia Narváez Marí,Plata,Miraflores,775,0.0,0.0,775.0,1,0.986,1,Alto,Random Forest
2008,Trinidad De Juliá,Bronce,Surco,319,0.0,0.0,319.0,1,0.986,1,Alto,Random Forest
1922,Eladio Nuñez-Alemán,Platino,Callao,1806,0.0,0.0,1806.0,1,0.986,1,Alto,Random Forest
413,Isidora López Sanchez,Platino,San Juan De Lurigancho,458,0.0,0.0,458.0,1,0.986,1,Alto,Random Forest
4122,Laura Caro Morell,Plata,Miraflores,895,0.0,0.0,895.0,1,0.986,1,Alto,Random Forest
848,Manola Saura Aguiló,Bronce,San Isidro,1152,0.0,0.0,1152.0,1,0.986,1,Alto,Random Forest
3262,Juliana Marqués-Bárcena,Bronce,San Isidro,619,0.0,0.0,619.0,1,0.986,1,Alto,Random Forest
3275,Guadalupe De Diaz,Bronce,Barranco,1107,0.0,0.0,1107.0,1,0.986,1,Alto,Random Forest
2960,Manuela Herrera Fuster,Bronce,Villa El Salvador,536,0.0,0.0,536.0,1,0.986,1,Alto,Random Forest
345,Luciano Gonzalo Romeu,Bronce,Lince,909,0.0,0.0,909.0,1,0.986,1,Alto,Random Forest
197,Pía Luciana Luna Cabrera,Bronce,San Isidro,1818,0.0,0.0,1818.0,1,0.986,1,Alto,Random Forest
232,Guiomar Valbuena Maldonado,Bronce,Barranco,405,0.0,0.0,405.0,1,0.9859,1,Alto,Random Forest
278,Jessica Matas Flor,Platino,San Juan De Lurigancho,1768,0.0,0.0,1768.0,1,0.9859,1,Alto,Random Forest
12,Ani Marcos,Oro,San Borja,422,0.0,0.0,422.0,1,0.9859,1,Alto,Random Forest
2030,María Dolores Arroyo Adadia,Bronce,San Isidro,1275,0.0,0.0,1275.0,1,0.9859,1,Alto,Random Forest
3974,Lilia Aguado Bernad,Oro,La Molina,891,0.0,0.0,891.0,1,0.9859,1,Alto,Random Forest
4596,Maura Jordán Elías,Bronce,Comas,1381,0.0,0.0,1381.0,1,0.9858,1,Alto,Random Forest
1177,Candelaria Espejo Giner,Bronce,Pueblo Libre,1223,0.0,0.0,1223.0,1,0.9858,1,Alto,Random Forest
804,María Manuela Salas,Bronce,Comas,278,0.0,0.0,278.0,1,0.9858,1,Alto,Random Forest
3562,Manola Bernad Barba,Bronce,La Molina,1426,0.0,0.0,1426.0,1,0.9858,1,Alto,Random Forest
4084,María Teresa Ayllón Alba,Bronce,Santiago De Surco,503,0.0,0.0,503.0,1,0.9858,1,Alto,Random Forest
1959,Nazaret De Alfonso,Bronce,San Isidro,1694,0.0,0.0,1694.0,1,0.9858,1,Alto,Random Forest
666,Eutimio Berrocal Angulo,Plata,Chorrillos,1495,0.0,0.0,1495.0,1,0.9858,1,Alto,Random Forest
3207,Ligia Colomer,Bronce,Santiago De Surco,1618,0.0,0.0,1618.0,1,0.9858,1,Alto,Random Forest
2389,Zaida Español,Bronce,Jesús María,771,0.0,0.0,771.0,1,0.9857,1,Alto,Random Forest
3970,Matías Ávila Fernández,Bronce,Lince,1486,0.0,0.0,1486.0,1,0.9857,1,Alto,Random Forest
1079,Natalio Ibarra,Bronce,Chorrillos,292,0.0,0.0,292.0,1,0.9857,1,Alto,Random Forest
1414,Gastón Nicolás Segarra Roldán,Plata,Chorrillos,1661,0.0,0.0,1661.0,1,0.9857,1,Alto,Random Forest
2378,Gema Fábregas Castillo,Plata,San Borja,1648,0.0,0.0,1648.0,1,0.9857,1,Alto,Random Forest
2883,Pedro Cases Varela,Plata,Barranco,1031,0.0,0.0,1031.0,1,0.9857,1,Alto,Random Forest
1903,Nidia Del Escobar,Plata,Miraflores,1772,0.0,0.0,1772.0,1,0.9856,1,Alto,Random Forest
2346,Xiomara Blanca Mariño,Bronce,Lince,783,0.0,0.0,783.0,1,0.9856,1,Alto,Random Forest
4943,Natalia Eugenia Cañizares Conesa,Oro,Barranco,949,0.0,0.0,949.0,1,0.9856,1,Alto,Random Forest
563,Máximo De Madrigal,Plata,La Molina,1666,0.0,0.0,1666.0,1,0.9856,1,Alto,Random Forest
3260,Valentina Manzano Toro,Platino,Villa El Salvador,1803,0.0,0.0,1803.0,1,0.9856,1,Alto,Random Forest
4150,Tere Nereida Anaya Velasco,Bronce,Pueblo Libre,1049,0.0,0.0,1049.0,1,0.9856,1,Alto,Random Forest
2471,Máximo Pol Rodrigo,Plata,Barranco,1695,0.0,0.0,1695.0,1,0.9855,1,Alto,Random Forest
4334,Liliana Mas Valenzuela,Bronce,Santiago De Surco,888,0.0,0.0,888.0,1,0.9855,1,Alto,Random Forest
4674,Curro Guillen Perelló,Bronce,Chorrillos,1602,0.0,0.0,1602.0,1,0.9855,1,Alto,Random Forest
1963,Chus Pastor-Sevillano,Oro,Pueblo Libre,504,0.0,0.0,504.0,1,0.9855,1,Alto,Random Forest
4405,Marisa De Madrigal,Plata,Villa El Salvador,617,0.0,0.0,617.0,1,0.9854,1,Alto,Random Forest
2154,Emiliana Rius-Quesada,Bronce,La Molina,1054,0.0,0.0,1054.0,1,0.9854,1,Alto,Random Forest
3676,Yago Ramón Artigas,Bronce,Pueblo Libre,1583,0.0,0.0,1583.0,1,0.9854,1,Alto,Random Forest
3526,Tomás Del Bejarano,Bronce,Pueblo Libre,517,0.0,0.0,517.0,1,0.9854,1,Alto,Random Forest
4043,Mohamed Morante,Plata,Lince,133,0.0,0.0,133.0,1,0.9854,1,Alto,Random Forest
4480,Paca Cano Alcalá,Plata,Pueblo Libre,631,0.0,0.0,631.0,1,0.9854,1,Alto,Random Forest
4939,Ramona Luján Echeverría,Bronce,Pueblo Libre,936,0.0,0.0,936.0,1,0.9854,1,Alto,Random Forest
4906,Leocadio Fabra Duran,Platino,Jesús María,673,0.0,0.0,673.0,1,0.9854,1,Alto,Random Forest
65,Goyo Abril Portero,Bronce,Pueblo Libre,986,0.0,0.0,986.0,1,0.9854,1,Alto,Random Forest
1636,Ernesto Casas Cañizares,Platino,Los Olivos,1616,0.0,0.0,1616.0,1,0.9854,1,Alto,Random Forest
2210,Amalia Leandra Alvarado Nieto,Plata,Pueblo Libre,445,0.0,0.0,445.0,1,0.9854,1,Alto,Random Forest
2253,Nieves Pallarès Feliu,Bronce,Pueblo Libre,982,0.0,0.0,982.0,1,0.9854,1,Alto,Random Forest
3559,Vidal Gracia-Francisco,Plata,Barranco,632,0.0,0.0,632.0,1,0.9854,1,Alto,Random Forest
3915,Mamen Crespi Planas,Bronce,Pueblo Libre,1127,0.0,0.0,1127.0,1,0.9854,1,Alto,Random Forest
1941,Fermín Arcos-Serna,Bronce,La Molina,1257,0.0,0.0,1257.0,1,0.9854,1,Alto,Random Forest
2781,Gustavo Espejo Berenguer,Plata,Lince,1782,0.0,0.0,1782.0,1,0.9854,1,Alto,Random Forest
1387,Ximena Ariza Toro,Bronce,La Molina,1238,0.0,0.0,1238.0,1,0.9854,1,Alto,Random Forest
3846,Luna Anaya Arévalo,Plata,La Molina,996,0.0,0.0,996.0,1,0.9853,1,Alto,Random Forest
